item_id,short_effect
1,Catches a wild Pokémon every time.
2,Tries to catch a wild Pokémon.  Success rate is 2×.
3,Tries to catch a wild Pokémon.  Success rate is 1.5×.
4,Tries to catch a wild Pokémon.
5,Tries to catch a wild Pokémon in the Great Marsh or Safari Zone.  Success rate is 1.5×.
6,Tries to catch a wild Pokémon.  Success rate is 3× for water and bug Pokémon.
7,"Tries to catch a wild Pokémon. Success rate is 3.5× when underwater, fishing, or surfing."
8,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30."
9,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.
10,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×."
11,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.
12,Tries to catch a wild Pokémon.
13,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.
14,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.
15,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn."
16,Tries to catch a wild Pokémon.
17,Restores 20 HP.
18,Cures poison.
19,Cures a burn.
20,Cures freezing.
21,Cures sleep.
22,Cures paralysis.
23,Restores HP to full and cures any status ailment and confusion.
24,Restores HP to full.
25,Restores 200 HP.
26,Restores 50 HP.
27,Cures any status ailment and confusion.
28,Revives with half HP.
29,Revives with full HP.
30,Restores 50 HP.
31,Restores 60 HP.
32,Restores 80 HP.
33,Restores 100 HP.
34,"Restores 50 HP, but lowers happiness."
35,"Restores 200 HP, but lowers happiness."
36,"Cures any status ailment, but lowers happiness."
37,"Revives with full HP, but lowers happiness."
38,Restores 10 PP for one move.
39,Restores PP to full for one move.
40,Restores 10 PP for each move.
41,Restores PP to full for each move.
42,Cures any status ailment and confusion.
43,Restores 20 HP.
44,Revives all fainted Pokémon with full HP.
45,Raises HP effort and happiness.
46,Raises Attack effort and happiness.
47,Raises Defense effort and happiness.
48,Raises Speed effort and happiness.
49,Raises Special Attack effort and happiness.
50,Causes a level-up and raises happiness.
51,Raises a move's max PP by 20%.
52,Raises Special Defense and happiness.
53,Raises a move's max PP by 60%.
54,Cures any status ailment and confusion.
55,Prevents stat changes in battle for five turns in battle.  Raises happiness.
56,Increases the chance of a critical hit in battle.  Raises happiness.
57,Raises Attack by one stage in battle.  Raises happiness.
58,Raises Defense by one stage in battle.  Raises happiness.
59,Raises Speed by one stage in battle.  Raises happiness.
60,Raises accuracy by one stage in battle.  Raises happiness.
61,Raises Special Attack by one stage in battle.  Raises happiness.
62,Raises Special Defense by one stage in battle.  Raises happiness.
63,Ends a wild battle.
64,Ends a wild battle.
65,Cures sleep.
66,Cures confusion.
67,Cures attraction.
68,Halves the wild Pokémon encounter rate.
69,Doubles the wild Pokémon encounter rate.
70,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.
71,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.
72,No effect. Can be traded for items or moves.
73,No effect. Can be traded for items or moves.
74,No effect. Can be traded for items or moves.
75,No effect. Can be traded for items or moves.
76,"For 200 steps, prevents wild encounters of level lower than your party's lead Pokémon."
77,"For 250 steps, prevents wild encounters of level lower than your party's lead Pokémon."
78,Transports user to the outside entrance of a cave.
79,"For 100 steps, prevents wild encounters of level lower than your party's lead Pokémon."
80,"Evolves a Cottonee into Whimsicott, a Gloom into Bellossom, a Petilil into Lilligant, or a Sunkern into Sunflora."
81,"Evolves a Clefairy into Clefable, a Jigglypuff into Wigglytuff, a Munna into Musharna, a Nidorina into Nidoqueen, a Nidorino into Nidoking, or a Skitty into Delcatty."
82,"Evolves an Eevee into Flareon, a Growlithe into Arcanine, a Pansear into Simisear, or a Vulpix into Ninetales."
83,"Evolves an Eelektrik into Eelektross, an Eevee into Jolteon, or a Pikachu into Raichu."
84,"Evolves an Eevee into Vaporeon, a Lombre into Ludicolo, a Panpour into Simipour, a Poliwhirl into Poliwrath, a Shellder into Cloyster, or a Staryu into Starmie."
85,"Evolves an Exeggcute into Exeggutor, a Gloom into Vileplume, a Nuzleaf into Shiftry, a Pansage into Simisage, or a Weepinbell into Victreebel."
86,"Fire Red and Leaf Green: Trade two for prior Level-up moves. Sell for 250 Pokédollars, or to Hungry Maid for 500 Pokédollars."
87,"Fire Red and Leaf Green: Trade for prior Level-up moves. Sell for 2500 Pokédollars, or to Hungry Maid for 5000 Pokédollars."
88,"Sell for 700 Pokédollars, or to Ore Collector for 1400 Pokédollars."
89,"Sell for 3750 Pokédollars, or to Ore Collector for 7500 Pokédollars."
90,"Sell for 1000 Pokédollars, or to Ore Collector for 2000 Pokédollars."
91,"Platinum: Trade for one of each color Shard. Black and White: Trade for PP Up. Sell for 4900 Pokédollars, or to Ore Collector for 9800 Pokédollars."
92,"Sell for 5000 Pokédollars, or to Ore Collector for 10000 Pokédollars."
93,No effect. Can be traded for prior Level-up moves.
94,
95,"Growing time of berries is reduced, but the soil dries out faster."
96,"Growing time of berries is increased, but the soil dries out slower."
97,Berries stay on the plant for longer than their usual time.
98,Berries regrow from dead plants an increased number of times.
99,Can be revived into a Lileep.
100,Can be revived into an Anorith.
101,Can be revived into an Omanyte.
102,Can be revived into a Kabuto.
103,Can be revived into an Aerodactyl.
104,Can be revived into a Shieldon.
105,Can be revived into a Cranidos.
106,"Sell for 5000 Pokédollars, or to Bone Man for 10000 Pokédollars."
107,"Evolves a Minccino into Cinccino, a Roselia into Roserade, or a Togetic into Togekiss."
108,"Evolves a Lampent into Chandelure, a Misdreavus into Mismagius, or a Murkrow into Honchkrow."
109,Evolves a male Kirlia into Gallade or a female Snorunt into Froslass.
110,Level-up during Day on a Happiny: Holder evolves into Chansey.
111,Use on the tower on Route 209 to encounter Spiritomb if you have at least 32 Underground greetings.
112,Boosts the damage from Dialga's Dragon-type and Steel-type moves by 20%.
113,Boosts the damage from Palkia's Dragon-type and Water-type moves by 20%.
114,Lets a Trainer write a message and send it via Pokémon trade.
115,Lets a Trainer write a message and send it via Pokémon trade.
116,Lets a Trainer write a message and send it via Pokémon trade.
117,Lets a Trainer write a message and send it via Pokémon trade.
118,Lets a Trainer write a message and send it via Pokémon trade.
119,Lets a Trainer write a message and send it via Pokémon trade.
120,Lets a Trainer write a message and send it via Pokémon trade.
121,Lets a Trainer write a message and send it via Pokémon trade.
122,Lets a Trainer write a message and send it via Pokémon trade.
123,Lets a Trainer write a message and send it via Pokémon trade.
124,Lets a Trainer write a message and send it via Pokémon trade.
125,Lets a Trainer write a message and send it via Pokémon trade.
126,Held: Consumed when paralyzed to cure paralysis.
127,Held: Consumed when asleep to cure sleep.
128,Held: Consumed when poisoned to cure poison.
129,Held: Consumed when burned to cure a burn.
130,Held: Consumed when frozen to cure frozen.
131,Held: Consumed when a move runs out of PP to restore its PP by 10.
132,Held: Consumed at 1/2 max HP to recover 10 HP.
133,Held: Consumed when confused to cure confusion.
134,Held: Consumed to cure any status condition or confusion.
135,Held: Consumed at 1/2 max HP to recover 1/4 max HP.
136,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike spicy flavor.
137,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike dry flavor.
138,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sweet flavor.
139,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike bitter flavor.
140,Held: Consumed at 1/2 max HP to restore 1/8 max HP. Confuses Pokémon that dislike sour flavor.
141,Used for creating PokéBlocks and Poffins.
142,Used for creating PokéBlocks and Poffins.
143,Used for creating PokéBlocks and Poffins.
144,Used for creating PokéBlocks and Poffins.
145,Used for creating PokéBlocks and Poffins.
146,Drops HP Effort Values by 10 and raises happiness.
147,Drops Attack Effort Values by 10 and raises happiness.
148,Drops Defense Effort Values by 10 and raises happiness.
149,Drops Special Attack Effort Values by 10 and raises happiness.
150,Drops Special Defense Effort Values by 10 and raises happiness.
151,Drops Speed Effort Values by 10 and raises happiness.
152,Used for creating PokéBlocks and Poffins.
153,Used for creating PokéBlocks and Poffins.
154,Used for creating PokéBlocks and Poffins.
155,Used for creating PokéBlocks and Poffins.
156,Used for creating PokéBlocks and Poffins.
157,Used for creating PokéBlocks and Poffins.
158,Used for creating PokéBlocks and Poffins.
159,Used for creating PokéBlocks and Poffins.
160,Used for creating PokéBlocks and Poffins.
161,Held: Consumed when struck by a super-effective Fire-type attack to halve the damage.
162,Held: Consumed when struck by a super-effective Water-type attack to halve the damage.
163,Held: Consumed when struck by a super-effective Electric-type attack to halve the damage.
164,Held: Consumed when struck by a super-effective Grass-type attack to halve the damage.
165,Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.
166,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.
167,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.
168,Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.
169,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.
170,Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.
171,Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.
172,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.
173,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.
174,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.
175,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.
176,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.
177,Held: Consumed when struck by a Normal-type attack to halve the damage.
178,Held: Consumed at 1/4 max HP to boost Attack.
179,Held: Consumed at 1/4 max HP to boost Defense.
180,Held: Consumed at 1/4 max HP to boost Speed.
