id,name,type_id,power,pp,accuracy,damage_class_id,effect_id,effect_chance
1,Pound,1,40,35,100,2,1,
2,Karate Chop,2,50,25,100,2,44,
3,Double Slap,1,15,10,85,2,30,
4,Comet Punch,1,18,15,85,2,30,
5,Mega Punch,1,80,20,85,2,1,
6,Pay Day,1,40,20,100,2,35,
7,Fire Punch,10,75,15,100,2,5,10
8,Ice Punch,15,75,15,100,2,6,10
9,Thunder Punch,13,75,15,100,2,7,10
10,Scratch,1,40,35,100,2,1,
11,Vice Grip,1,55,30,100,2,1,
12,Guillotine,1,,5,30,2,39,
13,Razor Wind,1,80,10,100,3,40,
14,Swords Dance,1,,20,,1,51,
15,Cut,1,50,30,95,2,1,
16,Gust,3,40,35,100,3,150,
17,Wing Attack,3,60,35,100,2,1,
18,Whirlwind,1,,20,,1,29,
19,Fly,3,90,15,95,2,156,
20,Bind,1,15,20,85,2,43,100
21,Slam,1,80,20,75,2,1,
22,Vine Whip,12,45,25,100,2,1,
23,Stomp,1,65,20,100,2,151,30
24,Double Kick,2,30,30,100,2,45,
25,Mega Kick,1,120,5,75,2,1,
26,Jump Kick,2,100,10,95,2,46,
27,Rolling Kick,2,60,15,85,2,32,30
28,Sand Attack,5,,15,100,1,24,
29,Headbutt,1,70,15,100,2,32,30
30,Horn Attack,1,65,25,100,2,1,
31,Fury Attack,1,15,20,85,2,30,
32,Horn Drill,1,,5,30,2,39,
33,Tackle,1,40,35,100,2,1,
34,Body Slam,1,85,15,100,2,7,30
35,Wrap,1,15,20,90,2,43,100
36,Take Down,1,90,20,85,2,49,
37,Thrash,1,120,10,100,2,28,
38,Double Edge,1,120,15,100,2,199,
39,Tail Whip,1,,30,100,1,20,
40,Poison Sting,4,15,35,100,2,3,30
41,Twineedle,7,25,20,100,2,78,20
42,Pin Missile,7,25,20,95,2,30,
43,Leer,1,,30,100,1,20,100
44,Bite,17,60,25,100,2,32,30
45,Growl,1,,40,100,1,19,
46,Roar,1,,20,,1,29,
47,Sing,1,,15,55,1,2,
48,Supersonic,1,,20,55,1,50,
49,Sonic Boom,1,,20,90,3,131,
50,Disable,1,,20,100,1,87,
51,Acid,4,40,30,100,3,73,10
52,Ember,10,40,25,100,3,5,10
53,Flamethrower,10,90,15,100,3,5,10
54,Mist,15,,30,,1,47,
55,Water Gun,11,40,25,100,3,1,
56,Hydro Pump,11,110,5,80,3,1,
57,Surf,11,90,15,100,3,258,
58,Ice Beam,15,90,10,100,3,6,10
59,Blizzard,15,110,5,70,3,261,10
60,Psybeam,14,65,20,100,3,77,10
61,Bubble Beam,11,65,20,100,3,71,10
62,Aurora Beam,15,65,20,100,3,69,10
63,Hyper Beam,1,150,5,90,3,81,
64,Peck,3,35,35,100,2,1,
65,Drill Peck,3,80,20,100,2,1,
66,Submission,2,80,20,80,2,49,
67,Low Kick,2,,20,100,2,197,
68,Counter,2,,20,100,2,90,
69,Seismic Toss,2,,20,100,2,88,
70,Strength,1,80,15,100,2,1,
71,Absorb,12,20,25,100,3,4,
72,Mega Drain,12,40,15,100,3,4,
73,Leech Seed,12,,10,90,1,85,
74,Growth,1,,20,,1,317,
75,Razor Leaf,12,55,25,95,2,44,
76,Solar Beam,12,120,10,100,3,152,
77,Poison Powder,4,,35,75,1,67,
78,Stun Spore,12,,30,75,1,68,
79,Sleep Powder,12,,15,75,1,2,
80,Petal Dance,12,120,10,100,3,28,
81,String Shot,7,,40,95,1,61,
82,Dragon Rage,16,,10,100,3,42,
83,Fire Spin,10,35,15,85,3,43,100
84,Thunder Shock,13,40,30,100,3,7,10
85,Thunderbolt,13,90,15,100,3,7,10
86,Thunder Wave,13,,20,90,1,68,
87,Thunder,13,110,10,70,3,153,30
88,Rock Throw,6,50,15,90,2,1,
89,Earthquake,5,100,10,100,2,148,
90,Fissure,5,,5,30,2,39,
91,Dig,5,80,10,100,2,257,
92,Toxic,4,,10,90,1,34,
93,Confusion,14,50,25,100,3,77,10
94,Psychic,14,90,10,100,3,73,10
95,Hypnosis,14,,20,60,1,2,
96,Meditate,14,,40,,1,11,
97,Agility,14,,30,,1,53,
98,Quick Attack,1,40,30,100,2,104,
99,Rage,1,20,20,100,2,82,
100,Teleport,14,,20,,1,154,
101,Night Shade,8,,15,100,3,88,
102,Mimic,1,,10,,1,83,
103,Screech,1,,40,85,1,60,
104,Double Team,1,,15,,1,17,
105,Recover,1,,10,,1,33,
106,Harden,1,,30,,1,12,
107,Minimize,1,,10,,1,109,
108,Smokescreen,1,,20,100,1,24,
109,Confuse Ray,8,,10,100,1,50,
110,Withdraw,11,,40,,1,12,
111,Defense Curl,1,,40,,1,157,
112,Barrier,14,,20,,1,52,
113,Light Screen,14,,30,,1,36,
114,Haze,15,,30,,1,26,
115,Reflect,14,,20,,1,66,
116,Focus Energy,1,,30,,1,48,
117,Bide,1,,10,,2,27,
118,Metronome,1,,10,,1,84,
119,Mirror Move,3,,20,,1,10,
120,Self Destruct,1,200,5,100,2,8,
121,Egg Bomb,1,100,10,75,2,1,
122,Lick,8,30,30,100,2,7,30
123,Smog,4,30,20,70,3,3,40
124,Sludge,4,65,20,100,3,3,30
125,Bone Club,5,65,20,85,2,32,10
126,Fire Blast,10,110,5,85,3,5,10
127,Waterfall,11,80,15,100,2,32,20
128,Clamp,11,35,15,85,2,43,100
129,Swift,1,60,20,,3,18,
130,Skull Bash,1,130,10,100,2,146,100
131,Spike Cannon,1,20,15,100,2,30,
132,Constrict,1,10,35,100,2,71,10
133,Amnesia,14,,20,,1,55,
134,Kinesis,14,,15,80,1,24,
135,Soft Boiled,1,,10,,1,33,
136,High Jump Kick,2,130,10,90,2,46,
137,Glare,1,,30,100,1,68,
138,Dream Eater,14,100,15,100,3,9,
139,Poison Gas,4,,40,90,1,67,
140,Barrage,1,15,20,85,2,30,
141,Leech Life,7,80,10,100,2,4,
142,Lovely Kiss,1,,10,75,1,2,
143,Sky Attack,3,140,5,90,2,76,30
144,Transform,1,,10,,1,58,
145,Bubble,11,40,30,100,3,71,10
146,Dizzy Punch,1,70,10,100,2,77,20
147,Spore,12,,15,100,1,2,
148,Flash,1,,20,100,1,24,
149,Psywave,14,,15,100,3,89,
150,Splash,1,,40,,1,86,
151,Acid Armor,4,,20,,1,52,
152,Crabhammer,11,100,10,90,2,44,
153,Explosion,1,250,5,100,2,8,
154,Fury Swipes,1,18,15,80,2,30,
155,Bonemerang,5,50,10,90,2,45,
156,Rest,14,,10,,1,38,
157,Rock Slide,6,75,10,90,2,32,30
158,Hyper Fang,1,80,15,90,2,32,10
159,Sharpen,1,,30,,1,11,
160,Conversion,1,,30,,1,31,
161,Tri Attack,1,80,10,100,3,37,20
162,Super Fang,1,,10,90,2,41,
163,Slash,1,70,20,100,2,44,
164,Substitute,1,,10,,1,80,
165,Struggle,1,50,1,,2,255,
166,Sketch,1,,1,,1,96,
167,Triple Kick,2,10,10,90,2,105,
168,Thief,17,60,25,100,2,106,
169,Spider Web,7,,10,,1,107,
170,Mind Reader,1,,5,,1,95,
171,Nightmare,8,,15,100,1,108,
